gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000048029,Eno4,enolase 4,NCBIGene:226265,
ENSMUSG00000041362,Shtn1,shootin 1,NCBIGene:71653,
ENSMUSG00000006270,Vax1,ventral anterior homeobox 1,NCBIGene:22326,
ENSMUSG00000040901,Kcnk18,"potassium channel, subfamily K, member 18",NCBIGene:332396,
ENSMUSG00000101630,Gm29261,predicted gene 29261,,
ENSMUSG00000025094,Slc18a2,"solute carrier family 18 (vesicular monoamine), member 2",NCBIGene:214084,
ENSMUSG00000074746,Pdzd8,PDZ domain containing 8,NCBIGene:107368,
ENSMUSG00000110210,Gm33756,"predicted gene, 33756",,
ENSMUSG00000087095,Emx2os,Emx2 opposite strand/antisense transcript (non-protein coding),NCBIGene:329078,
ENSMUSG00000043969,Emx2,empty spiracles homeobox 2,NCBIGene:13797,
ENSMUSG00000100119,2700089I24Rik,RIKEN cDNA 2700089I24 gene,NCBIGene:72647,
ENSMUSG00000118031,Gm19956,"predicted gene, 19956",,
ENSMUSG00000118190,Gm50411,"predicted gene, 50411",,
ENSMUSG00000090965,Gm17203,predicted gene 17203,,
ENSMUSG00000040022,Rab11fip2,RAB11 family interacting protein 2 (class I),NCBIGene:74998,
ENSMUSG00000091378,Gm4219,predicted gene 4219,,
ENSMUSG00000053117,E330013P04Rik,RIKEN cDNA E330013P04 gene,NCBIGene:107376,
ENSMUSG00000057858,Fam204a,"family with sequence similarity 204, member A",NCBIGene:76539,
ENSMUSG00000099678,Gm28351,predicted gene 28351,,
ENSMUSG00000045052,Prlhr,prolactin releasing hormone receptor,NCBIGene:226278,
ENSMUSG00000033417,Cacul1,"CDK2 associated, cullin domain 1",NCBIGene:78832,
ENSMUSG00000117790,Gm46652,"predicted gene, 46652",,
ENSMUSG00000072437,Nanos1,nanos C2HC-type zinc finger 1,NCBIGene:332397,
ENSMUSG00000024991,Eif3a,"eukaryotic translation initiation factor 3, subunit A",NCBIGene:13669,
ENSMUSG00000024993,Fam45a,"family with sequence similarity 45, member A",NCBIGene:67894,
ENSMUSG00000063698,Sfxn4,sideroflexin 4,NCBIGene:94281,
ENSMUSG00000024997,Prdx3,peroxiredoxin 3,NCBIGene:11757,
ENSMUSG00000003228,Grk5,G protein-coupled receptor kinase 5,NCBIGene:14773,
ENSMUSG00000074733,Zfp950,zinc finger protein 950,NCBIGene:414758,
ENSMUSG00000094649,Gm7102,predicted gene 7102,NCBIGene:633057,
ENSMUSG00000069475,Gm6020,predicted gene 6020,,
ENSMUSG00000059326,Csf2ra,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",NCBIGene:12982,
ENSMUSG00000095993,Gm21060,"predicted gene, 21060",,
ENSMUSG00000100249,Btbd35f23,"BTB domain containing 35, family member 23",NCBIGene:100861966,no expression
ENSMUSG00000096426,Btbd35f24,"BTB domain containing 35, family member 24",NCBIGene:100861971,no expression
ENSMUSG00000094558,Btbd35f11,"BTB domain containing 35, family member 11",NCBIGene:668958,no expression
ENSMUSG00000094876,Btbd35f18,"BTB domain containing 35, family member 18",NCBIGene:630022,no expression
ENSMUSG00000095716,Btbd35f10,"BTB domain containing 35, family member 10",NCBIGene:668960,no expression
ENSMUSG00000101381,Btbd35f16,"BTB domain containing 35, family member 16",NCBIGene:100042159,no expression
ENSMUSG00000078218,Btbd35f3,"BTB domain containing 35, family member 3",NCBIGene:100042168,no expression
ENSMUSG00000094307,Btbd35f28,"BTB domain containing 35, family member 28",NCBIGene:627264,no expression
ENSMUSG00000094596,Btbd35f20,"BTB domain containing 35, family member 20",NCBIGene:668963,no expression
ENSMUSG00000094273,Btbd35f17,"BTB domain containing 35, family member 17",NCBIGene:668964,no expression
ENSMUSG00000078213,Btbd35f4,"BTB domain containing 35, family member 4",NCBIGene:100042254,no expression
