gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000051951,Xkr4,X-linked Kx blood group related 4,NCBIGene:497097,
ENSMUSG00000089699,Gm1992,predicted gene 1992,,
ENSMUSG00000102331,Gm19938,"predicted gene, 19938",,
ENSMUSG00000102343,Gm37381,"predicted gene, 37381",,
ENSMUSG00000025900,Rp1,retinitis pigmentosa 1 (human),NCBIGene:19888,
ENSMUSG00000025902,Sox17,SRY (sex determining region Y)-box 17,NCBIGene:20671,
ENSMUSG00000104238,Gm37587,"predicted gene, 37587",,
ENSMUSG00000104328,Gm37323,"predicted gene, 37323",,
ENSMUSG00000033845,Mrpl15,mitochondrial ribosomal protein L15,NCBIGene:27395,
ENSMUSG00000025903,Lypla1,lysophospholipase 1,NCBIGene:18777,
ENSMUSG00000033813,Tcea1,transcription elongation factor A (SII) 1,NCBIGene:21399,
ENSMUSG00000002459,Rgs20,regulator of G-protein signaling 20,NCBIGene:58175,
ENSMUSG00000085623,Gm16041,predicted gene 16041,NCBIGene:102631647,
ENSMUSG00000033793,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",NCBIGene:108664,
ENSMUSG00000025905,Oprk1,"opioid receptor, kappa 1",NCBIGene:18387,
ENSMUSG00000033774,Npbwr1,neuropeptides B/W receptor 1,NCBIGene:226304,
ENSMUSG00000025907,Rb1cc1,RB1-inducible coiled-coil 1,NCBIGene:12421,
ENSMUSG00000090031,4732440D04Rik,RIKEN cDNA 4732440D04 gene,,
ENSMUSG00000087247,Alkal1,ALK and LTK ligand 1,NCBIGene:620393,
ENSMUSG00000033740,St18,suppression of tumorigenicity 18,NCBIGene:240690,
ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,NCBIGene:319263,
ENSMUSG00000097797,Gm26901,"predicted gene, 26901",,
ENSMUSG00000103067,Gm30414,"predicted gene, 30414",,
ENSMUSG00000025909,Sntg1,"syntrophin, gamma 1",NCBIGene:71096,
ENSMUSG00000061024,Rrs1,ribosome biogenesis regulator 1,NCBIGene:59014,
ENSMUSG00000025911,Adhfe1,"alcohol dehydrogenase, iron containing, 1",NCBIGene:76187,
ENSMUSG00000079671,2610203C22Rik,RIKEN cDNA 2610203C22 gene,,
ENSMUSG00000067879,Vxn,vexin,NCBIGene:76982,
ENSMUSG00000099827,Gm29520,predicted gene 29520,,
ENSMUSG00000025912,Mybl1,myeloblastosis oncogene-like 1,NCBIGene:17864,
ENSMUSG00000045210,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1,NCBIGene:70675,
ENSMUSG00000097893,1700034P13Rik,RIKEN cDNA 1700034P13 gene,,
ENSMUSG00000025915,Sgk3,serum/glucocorticoid regulated kinase 3,NCBIGene:170755,
ENSMUSG00000046101,Mcmdc2,minichromosome maintenance domain containing 2,NCBIGene:240697,
ENSMUSG00000098234,Snhg6,small nucleolar RNA host gene 6,NCBIGene:73824,
ENSMUSG00000099032,Tcf24,transcription factor 24,NCBIGene:100039596,
ENSMUSG00000025916,Ppp1r42,"protein phosphatase 1, regulatory subunit 42",NCBIGene:69312,
ENSMUSG00000087199,Gm15818,predicted gene 15818,,
ENSMUSG00000025917,Cops5,COP9 signalosome subunit 5,NCBIGene:26754,
ENSMUSG00000056763,Cspp1,centrosome and spindle pole associated protein 1,NCBIGene:211660,
ENSMUSG00000067851,Arfgef1,ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited),NCBIGene:211673,
ENSMUSG00000042501,Cpa6,carboxypeptidase A6,NCBIGene:329093,
ENSMUSG00000048960,Prex2,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2",NCBIGene:109294,
ENSMUSG00000057715,A830018L16Rik,RIKEN cDNA A830018L16 gene,NCBIGene:320492,
ENSMUSG00000097171,Gm17644,"predicted gene, 17644",NCBIGene:329096,
ENSMUSG00000101314,Gm29663,predicted gene 29663,,
ENSMUSG00000016918,Sulf1,sulfatase 1,NCBIGene:240725,
ENSMUSG00000025938,Slco5a1,"solute carrier organic anion transporter family, member 5A1",NCBIGene:240726,
ENSMUSG00000099498,Gm29283,predicted gene 29283,,
ENSMUSG00000042414,Prdm14,PR domain containing 14,NCBIGene:383491,
ENSMUSG00000005886,Ncoa2,nuclear receptor coactivator 2,NCBIGene:17978,
ENSMUSG00000101476,Gm29570,predicted gene 29570,,
ENSMUSG00000025935,Tram1,translocating chain-associating membrane protein 1,NCBIGene:72265,
ENSMUSG00000025937,Lactb2,"lactamase, beta 2",NCBIGene:212442,
ENSMUSG00000067813,Xkr9,X-linked Kx blood group related 9,NCBIGene:381246,
ENSMUSG00000025932,Eya1,EYA transcriptional coactivator and phosphatase 1,NCBIGene:14048,
ENSMUSG00000054493,Gm9947,predicted gene 9947,,
ENSMUSG00000025930,Msc,musculin,NCBIGene:17681,
ENSMUSG00000032769,Trpa1,"transient receptor potential cation channel, subfamily A, member 1",NCBIGene:277328,
ENSMUSG00000092083,Kcnb2,"potassium voltage gated channel, Shab-related subfamily, member 2",NCBIGene:98741,
ENSMUSG00000025925,Terf1,telomeric repeat binding factor 1,NCBIGene:21749,
ENSMUSG00000032719,Sbspon,"somatomedin B and thrombospondin, type 1 domain containing",NCBIGene:226866,
ENSMUSG00000067795,4930444P10Rik,RIKEN cDNA 4930444P10 gene,NCBIGene:75799,
ENSMUSG00000043716,Rpl7,ribosomal protein L7,NCBIGene:19989,
ENSMUSG00000025921,Rdh10,retinol dehydrogenase 10 (all-trans),NCBIGene:98711,
ENSMUSG00000100868,Gm28095,predicted gene 28095,,
ENSMUSG00000025920,Stau2,staufen double-stranded RNA binding protein 2,NCBIGene:29819,
ENSMUSG00000089982,Gm7568,predicted gene 7568,NCBIGene:102634042,
ENSMUSG00000025939,Ube2w,ubiquitin-conjugating enzyme E2W (putative),NCBIGene:66799,
ENSMUSG00000079658,Eloc,elongin C,NCBIGene:67923,
ENSMUSG00000097744,D030040B21Rik,RIKEN cDNA D030040B21 gene,NCBIGene:329101,
ENSMUSG00000025940,Tmem70,transmembrane protein 70,NCBIGene:70397,
ENSMUSG00000025779,Ly96,lymphocyte antigen 96,NCBIGene:17087,
ENSMUSG00000101640,Gm28376,predicted gene 28376,,
ENSMUSG00000042686,Jph1,junctophilin 1,NCBIGene:57339,
ENSMUSG00000100110,Gm28783,predicted gene 28783,,
ENSMUSG00000025777,Gdap1,ganglioside-induced differentiation-associated-protein 1,NCBIGene:14545,
ENSMUSG00000099899,Gm28784,predicted gene 28784,,
ENSMUSG00000067780,Pi15,peptidase inhibitor 15,NCBIGene:94227,
ENSMUSG00000100053,Gm28154,predicted gene 28154,NCBIGene:102634738,
ENSMUSG00000085125,Gm16070,predicted gene 16070,NCBIGene:102634913,
ENSMUSG00000025776,Crispld1,cysteine-rich secretory protein LCCL domain containing 1,NCBIGene:83691,
ENSMUSG00000099895,Gm28153,predicted gene 28153,,
ENSMUSG00000109887,Gm28756,predicted gene 28756,,
ENSMUSG00000025774,Crisp4,cysteine-rich secretory protein 4,NCBIGene:78081,
ENSMUSG00000073735,Defb18,defensin beta 18,NCBIGene:654460,
ENSMUSG00000067773,Defb41,defensin beta 41,NCBIGene:77673,
ENSMUSG00000089787,Gm15825,predicted gene 15825,NCBIGene:102635013,
ENSMUSG00000042596,Tfap2d,"transcription factor AP-2, delta",NCBIGene:226896,
ENSMUSG00000025927,Tfap2b,transcription factor AP-2 beta,NCBIGene:21419,
ENSMUSG00000100538,Gm28340,predicted gene 28340,,
ENSMUSG00000043760,Pkhd1,polycystic kidney and hepatic disease 1,NCBIGene:241035,
ENSMUSG00000089914,4930486I03Rik,RIKEN cDNA 4930486I03 gene,NCBIGene:75028,
ENSMUSG00000099906,Gm28653,predicted gene 28653,NCBIGene:105661730,
ENSMUSG00000025929,Il17a,interleukin 17A,NCBIGene:16171,
ENSMUSG00000041872,Il17f,interleukin 17F,NCBIGene:257630,
ENSMUSG00000041859,Mcm3,minichromosome maintenance complex component 3,NCBIGene:17215,
ENSMUSG00000102121,Gm28065,predicted gene 28065,,
ENSMUSG00000097934,6720483E21Rik,RIKEN cDNA 6720483E21 gene,NCBIGene:77741,
ENSMUSG00000025931,Paqr8,progestin and adipoQ receptor family member VIII,NCBIGene:74229,
ENSMUSG00000041809,Efhc1,EF-hand domain (C-terminal) containing 1,NCBIGene:71877,
ENSMUSG00000041779,Tram2,translocating chain-associating membrane protein 2,NCBIGene:170829,
ENSMUSG00000099971,Gm28287,predicted gene 28287,,
ENSMUSG00000025933,Tmem14a,transmembrane protein 14A,NCBIGene:75712,
ENSMUSG00000025934,Gsta3,"glutathione S-transferase, alpha 3",NCBIGene:14859,
ENSMUSG00000099343,Gm28836,predicted gene 28836,,
ENSMUSG00000067750,Khdc1a,KH domain containing 1A,NCBIGene:368204,
ENSMUSG00000041722,Khdc1c,KH domain containing 1C,NCBIGene:433278,
ENSMUSG00000085079,Khdc1b,KH domain containing 1B,NCBIGene:98582,
ENSMUSG00000028033,Kcnq5,"potassium voltage-gated channel, subfamily Q, member 5",NCBIGene:226922,
ENSMUSG00000041670,Rims1,regulating synaptic membrane exocytosis 1,NCBIGene:116837,
ENSMUSG00000101227,Gm29506,predicted gene 29506,,
ENSMUSG00000073730,4933415F23Rik,RIKEN cDNA 4933415F23 gene,NCBIGene:66755,
ENSMUSG00000097970,Gm27028,"predicted gene, 27028",,
ENSMUSG00000100775,Gm29107,predicted gene 29107,,
ENSMUSG00000026158,Ogfrl1,opioid growth factor receptor-like 1,NCBIGene:70155,
ENSMUSG00000099503,Gm28822,predicted gene 28822,NCBIGene:105243890,
ENSMUSG00000026156,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",NCBIGene:280645,
ENSMUSG00000026155,Smap1,small ArfGAP 1,NCBIGene:98366,
ENSMUSG00000026154,Sdhaf4,succinate dehydrogenase complex assembly factor 4,NCBIGene:68002,
ENSMUSG00000026153,Fam135a,"family with sequence similarity 135, member A",NCBIGene:68187,
ENSMUSG00000026147,Col9a1,"collagen, type IX, alpha 1",NCBIGene:12839,
ENSMUSG00000026141,Col19a1,"collagen, type XIX, alpha 1",NCBIGene:12823,
ENSMUSG00000073725,Lmbrd1,LMBR1 domain containing 1,NCBIGene:68421,
ENSMUSG00000100483,Gm28237,predicted gene 28237,,
ENSMUSG00000099392,Gm29414,predicted gene 29414,,
ENSMUSG00000033569,Adgrb3,adhesion G protein-coupled receptor B3,NCBIGene:210933,
ENSMUSG00000073722,4931408C20Rik,RIKEN cDNA 4931408C20 gene,NCBIGene:210940,
ENSMUSG00000101514,Gm5524,predicted gene 5524,,
ENSMUSG00000048411,Gm597,predicted gene 597,NCBIGene:210962,
ENSMUSG00000053185,Gm9898,predicted gene 9898,,
ENSMUSG00000048874,Phf3,PHD finger protein 3,NCBIGene:213109,
ENSMUSG00000026064,Ptp4a1,protein tyrosine phosphatase 4a1,,
ENSMUSG00000117310,Ptp4a1,protein tyrosine phosphatase 4a1,,
ENSMUSG00000117091,Gm5698,predicted gene 5698,NCBIGene:435615,
ENSMUSG00000086727,4931428L18Rik,RIKEN cDNA 4931428L18 gene,,
ENSMUSG00000100237,Gm28644,predicted gene 28644,,
ENSMUSG00000100910,Gm29128,predicted gene 29128,,
ENSMUSG00000050217,Lgsn,"lengsin, lens protein with glutamine synthetase domain",NCBIGene:266744,
ENSMUSG00000026063,Pih1d3,PIH1 domain containing 3,NCBIGene:74708,
ENSMUSG00000026058,Khdrbs2,"KH domain containing, RNA binding, signal transduction associated 2",NCBIGene:170771,
ENSMUSG00000091318,Gm5415,predicted gene 5415,NCBIGene:408191,
ENSMUSG00000102917,Gm37724,"predicted gene, 37724",,
ENSMUSG00000104230,Gm37591,"predicted gene, 37591",,
ENSMUSG00000026134,Prim2,"DNA primase, p58 subunit",NCBIGene:19076,
ENSMUSG00000004768,Rab23,"RAB23, member RAS oncogene family",NCBIGene:19335,
ENSMUSG00000042215,Bag2,BCL2-associated athanogene 2,NCBIGene:213539,
ENSMUSG00000042197,Zfp451,zinc finger protein 451,NCBIGene:98403,
ENSMUSG00000042182,Bend6,BEN domain containing 6,NCBIGene:320705,
ENSMUSG00000026131,Dst,dystonin,NCBIGene:13518,
ENSMUSG00000096992,Gm26788,"predicted gene, 26788",NCBIGene:108167617,
ENSMUSG00000104397,Gm37958,"predicted gene, 37958",,
ENSMUSG00000102336,Gm37233,"predicted gene, 37233",,
ENSMUSG00000042111,Ccdc115,coiled-coil domain containing 115,NCBIGene:69668,
ENSMUSG00000101711,Gm28306,predicted gene 28306,,
ENSMUSG00000026127,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein",NCBIGene:27993,
ENSMUSG00000026126,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18",NCBIGene:19253,
ENSMUSG00000100280,Gm28417,predicted gene 28417,,
ENSMUSG00000101223,4930568A12Rik,RIKEN cDNA 4930568A12 gene,,
ENSMUSG00000026125,Prss39,"protease, serine 39",NCBIGene:21755,
ENSMUSG00000026124,Cfc1,"cripto, FRL-1, cryptic family 1",NCBIGene:12627,
ENSMUSG00000037529,Prss40,"protease, serine 40",NCBIGene:21756,
ENSMUSG00000045815,1700101I19Rik,RIKEN cDNA 1700101I19 gene,,
ENSMUSG00000045174,Amer3,APC membrane recruitment 3,NCBIGene:211383,
ENSMUSG00000037509,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,NCBIGene:226970,
ENSMUSG00000118272,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,,no expression
ENSMUSG00000104002,Gm38336,"predicted gene, 38336",,
ENSMUSG00000037503,Fam168b,"family with sequence similarity 168, member B",NCBIGene:214469,
ENSMUSG00000026123,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2",NCBIGene:226971,
ENSMUSG00000104417,Gm37068,"predicted gene, 37068",,
ENSMUSG00000101714,Gm28415,predicted gene 28415,,
ENSMUSG00000102531,1110002O04Rik,RIKEN cDNA 1110002O04 gene,,
ENSMUSG00000102279,Gm37146,"predicted gene, 37146",,
ENSMUSG00000103708,Gm33222,"predicted gene, 33222",,
ENSMUSG00000104201,4930535G08Rik,RIKEN cDNA 4930535G08 gene,,
ENSMUSG00000045216,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,NCBIGene:50785,
ENSMUSG00000104523,Gm37335,"predicted gene, 37335",,
ENSMUSG00000102202,Gm33280,"predicted gene, 33280",,
ENSMUSG00000037470,Uggt1,UDP-glucose glycoprotein glucosyltransferase 1,NCBIGene:320011,
ENSMUSG00000047180,Neurl3,neuralized E3 ubiquitin protein ligase 3,NCBIGene:214854,
ENSMUSG00000037447,Arid5a,AT rich interactive domain 5A (MRF1-like),NCBIGene:214855,
ENSMUSG00000102762,4930403P22Rik,RIKEN cDNA 4930403P22 gene,,
ENSMUSG00000010453,Kansl3,KAT8 regulatory NSL complex subunit 3,NCBIGene:226976,
ENSMUSG00000037432,Fer1l5,fer-1-like 5 (C. elegans),NCBIGene:100534273,
ENSMUSG00000001143,Lman2l,"lectin, mannose-binding 2-like",NCBIGene:214895,
ENSMUSG00000037408,Cnnm4,cyclin M4,NCBIGene:94220,
ENSMUSG00000001138,Cnnm3,cyclin M3,NCBIGene:94218,
ENSMUSG00000102845,Gm38033,"predicted gene, 38033",,
ENSMUSG00000067653,Ankrd23,ankyrin repeat domain 23,NCBIGene:78321,
ENSMUSG00000079610,Ankrd39,ankyrin repeat domain 39,NCBIGene:109346,
ENSMUSG00000026121,Sema4c,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C",NCBIGene:20353,
ENSMUSG00000087589,D430040D24Rik,RIKEN cDNA D430040D24 gene,,
ENSMUSG00000046337,Fam178b,"family with sequence similarity 178, member B",NCBIGene:381337,
ENSMUSG00000061518,Cox5b,cytochrome c oxidase subunit 5B,NCBIGene:12859,
ENSMUSG00000037351,Actr1b,"ARP1 actin-related protein 1B, centractin beta",NCBIGene:226977,
ENSMUSG00000102416,4933424G06Rik,RIKEN cDNA 4933424G06 gene,NCBIGene:71166,
ENSMUSG00000104237,Gm33533,"predicted gene, 33533",,
ENSMUSG00000026117,Zap70,zeta-chain (TCR) associated protein kinase,NCBIGene:22637,
ENSMUSG00000026116,Tmem131,transmembrane protein 131,NCBIGene:56030,
ENSMUSG00000102930,Gm38115,"predicted gene, 38115",,
ENSMUSG00000050122,Vwa3b,von Willebrand factor A domain containing 3B,NCBIGene:70853,
ENSMUSG00000103603,Gm37020,"predicted gene, 37020",,
ENSMUSG00000026114,Cnga3,cyclic nucleotide gated channel alpha 3,NCBIGene:12790,
ENSMUSG00000026113,Inpp4a,"inositol polyphosphate-4-phosphatase, type I",NCBIGene:269180,
ENSMUSG00000086064,4930439A04Rik,RIKEN cDNA 4930439A04 gene,,
ENSMUSG00000026112,Coa5,cytochrome C oxidase assembly factor 5,NCBIGene:76178,
ENSMUSG00000026111,Unc50,unc-50 homolog,NCBIGene:67387,
ENSMUSG00000026110,Mgat4a,"mannoside acetylglucosaminyltransferase 4, isoenzyme A",NCBIGene:269181,
ENSMUSG00000026090,2010300C02Rik,RIKEN cDNA 2010300C02 gene,NCBIGene:72097,
ENSMUSG00000089767,4930556I23Rik,RIKEN cDNA 4930556I23 gene,,
ENSMUSG00000060771,Tsga10,testis specific 10,NCBIGene:211484,
ENSMUSG00000097268,Gm26805,"predicted gene, 26805",,
ENSMUSG00000037216,Lipt1,lipoyltransferase 1,NCBIGene:623661,
ENSMUSG00000026088,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",NCBIGene:69028,
ENSMUSG00000026087,Mrpl30,mitochondrial ribosomal protein L30,NCBIGene:107734,
ENSMUSG00000061584,Lyg2,lysozyme G-like 2,NCBIGene:332427,
ENSMUSG00000087374,Gm15457,predicted gene 15457,,
ENSMUSG00000026085,Lyg1,lysozyme G-like 1,NCBIGene:69541,
ENSMUSG00000058407,Txndc9,thioredoxin domain containing 9,NCBIGene:98258,
ENSMUSG00000026083,Eif5b,eukaryotic translation initiation factor 5B,NCBIGene:226982,
ENSMUSG00000026082,Rev1,"REV1, DNA directed polymerase",NCBIGene:56210,
ENSMUSG00000103804,Gm37062,"predicted gene, 37062",,
ENSMUSG00000102716,Gm5099,predicted gene 5099,NCBIGene:329123,
ENSMUSG00000037138,Aff3,"AF4/FMR2 family, member 3",NCBIGene:16764,
ENSMUSG00000085391,Gm16150,predicted gene 16150,,
ENSMUSG00000085280,Gm16151,predicted gene 16151,,
ENSMUSG00000087131,Gm16152,predicted gene 16152,,
ENSMUSG00000048814,Lonrf2,LON peptidase N-terminal domain and ring finger 2,NCBIGene:381338,
ENSMUSG00000026080,Chst10,carbohydrate sulfotransferase 10,NCBIGene:98388,
ENSMUSG00000103647,Gm37707,"predicted gene, 37707",,
ENSMUSG00000067604,Nms,neuromedin S,NCBIGene:433292,
ENSMUSG00000026078,Pdcl3,phosducin-like 3,NCBIGene:68833,
ENSMUSG00000104188,Gm37821,"predicted gene, 37821",,
ENSMUSG00000026077,Npas2,neuronal PAS domain protein 2,NCBIGene:18143,
ENSMUSG00000073702,Rpl31,ribosomal protein L31,NCBIGene:114641,
ENSMUSG00000003134,Tbc1d8,"TBC1 domain family, member 8",NCBIGene:54610,
ENSMUSG00000003135,Cnot11,"CCR4-NOT transcription complex, subunit 11",NCBIGene:52846,
ENSMUSG00000085894,Gm15832,predicted gene 15832,,
ENSMUSG00000048234,Rnf149,ring finger protein 149,NCBIGene:67702,
ENSMUSG00000050967,Creg2,cellular repressor of E1A-stimulated genes 2,NCBIGene:263764,
ENSMUSG00000097083,D930019O06Rik,RIKEN cDNA D930019O06,,
ENSMUSG00000057173,Rfx8,regulatory factor X 8,NCBIGene:619289,
ENSMUSG00000091937,Gm3646,predicted gene 3646,,
ENSMUSG00000101634,1700066B17Rik,RIKEN cDNA 1700066B17 gene,NCBIGene:73426,
ENSMUSG00000026074,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,NCBIGene:26921,
ENSMUSG00000026073,Il1r2,"interleukin 1 receptor, type II",NCBIGene:16178,
ENSMUSG00000097899,Gm16894,"predicted gene, 16894",NCBIGene:100047133,
ENSMUSG00000026072,Il1r1,"interleukin 1 receptor, type I",NCBIGene:16177,
ENSMUSG00000070942,Il1rl2,interleukin 1 receptor-like 2,NCBIGene:107527,
ENSMUSG00000026069,Il1rl1,interleukin 1 receptor-like 1,NCBIGene:17082,
ENSMUSG00000026070,Il18r1,interleukin 18 receptor 1,NCBIGene:16182,
ENSMUSG00000026068,Il18rap,interleukin 18 receptor accessory protein,NCBIGene:16174,
ENSMUSG00000104441,Gm35801,"predicted gene, 35801",NCBIGene:102639500,
ENSMUSG00000026065,Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4",NCBIGene:110895,
ENSMUSG00000026062,Slc9a2,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",NCBIGene:226999,
ENSMUSG00000103679,Gm37623,"predicted gene, 37623",,
ENSMUSG00000103270,Gm37915,"predicted gene, 37915",NCBIGene:102641498,
ENSMUSG00000041945,Mfsd9,major facilitator superfamily domain containing 9,NCBIGene:211798,
ENSMUSG00000079588,Tmem182,transmembrane protein 182,NCBIGene:381339,
ENSMUSG00000104072,4930448I06Rik,RIKEN cDNA 4930448I06 gene,NCBIGene:74897,
ENSMUSG00000100185,Gm28634,predicted gene 28634,,
ENSMUSG00000100832,Gm29260,predicted gene 29260,,
ENSMUSG00000053640,Gm9915,predicted gene 9915,,
ENSMUSG00000101919,Gm29664,predicted gene 29664,,
ENSMUSG00000101299,Gm28175,predicted gene 28175,,
ENSMUSG00000100180,Gm28140,predicted gene 28140,,
ENSMUSG00000060424,Pantr1,"POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1",,
ENSMUSG00000093436,Gm20646,predicted gene 20646,NCBIGene:108167623,
ENSMUSG00000045515,Pou3f3,"POU domain, class 3, transcription factor 3",NCBIGene:18993,
ENSMUSG00000097063,Pantr2,"POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2",,
ENSMUSG00000099784,Dalir,DNMT1 associated long intergenic non-coding RNA,NCBIGene:104940697,
ENSMUSG00000060679,Mrps9,mitochondrial ribosomal protein S9,NCBIGene:69527,
ENSMUSG00000041907,Gpr45,G protein-coupled receptor 45,NCBIGene:93690,
ENSMUSG00000070939,Tgfbrap1,"transforming growth factor, beta receptor associated protein 1",NCBIGene:73122,
ENSMUSG00000100269,Gm28782,predicted gene 28782,,
ENSMUSG00000041878,8430432A02Rik,RIKEN cDNA 8430432A02 gene,,
ENSMUSG00000010290,AI597479,expressed sequence AI597479,NCBIGene:98404,
ENSMUSG00000008136,Fhl2,four and a half LIM domains 2,NCBIGene:14200,
ENSMUSG00000099576,Gm29040,predicted gene 29040,,
ENSMUSG00000066877,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2,NCBIGene:17974,
ENSMUSG00000026051,Ecrg4,ECRG4 augurin precursor,NCBIGene:78896,
ENSMUSG00000100764,Gm29155,predicted gene 29155,,
ENSMUSG00000100635,Gm29157,predicted gene 29157,,
ENSMUSG00000100480,Gm29156,predicted gene 29156,,
ENSMUSG00000057363,Uxs1,UDP-glucuronate decarboxylase 1,NCBIGene:67883,
ENSMUSG00000041763,Tpp2,tripeptidyl peptidase II,NCBIGene:22019,
ENSMUSG00000047343,Mettl21c,methyltransferase like 21C,NCBIGene:433294,
ENSMUSG00000091844,Gm8251,predicted gene 8251,NCBIGene:102636082,
ENSMUSG00000026049,Tex30,testis expressed 30,NCBIGene:75623,
ENSMUSG00000026047,Poglut2,protein O-glucosyltransferase 2,NCBIGene:72050,
ENSMUSG00000041684,Bivm,"basic, immunoglobulin-like variable motif containing",NCBIGene:246229,
ENSMUSG00000026048,Ercc5,"excision repair cross-complementing rodent repair deficiency, complementation group 5",NCBIGene:22592,
ENSMUSG00000046828,Mettl21e,methyltransferase like 21E,NCBIGene:403183,
ENSMUSG00000100769,Gm28893,predicted gene 28893,NCBIGene:105243917,
ENSMUSG00000056870,Gulp1,"GULP, engulfment adaptor PTB domain containing 1",NCBIGene:70676,
ENSMUSG00000101701,4930521E06Rik,RIKEN cDNA 4930521E06 gene,NCBIGene:75066,
ENSMUSG00000026043,Col3a1,"collagen, type III, alpha 1",NCBIGene:12825,
ENSMUSG00000026042,Col5a2,"collagen, type V, alpha 2",NCBIGene:12832,
ENSMUSG00000025995,Wdr75,WD repeat domain 75,NCBIGene:73674,
ENSMUSG00000098549,Gm5269,predicted gene 5269,,
ENSMUSG00000025993,Slc40a1,"solute carrier family 40 (iron-regulated transporter), member 1",NCBIGene:53945,
ENSMUSG00000041144,Dnah7b,"dynein, axonemal, heavy chain 7B",NCBIGene:227058,
ENSMUSG00000101337,Dnah7c,"dynein, axonemal, heavy chain 7C",NCBIGene:100101919,
ENSMUSG00000025986,Slc39a10,"solute carrier family 39 (zinc transporter), member 10",NCBIGene:227059,
ENSMUSG00000100213,Gm28151,predicted gene 28151,,
ENSMUSG00000101447,Gm28826,predicted gene 28826,,
ENSMUSG00000051616,C230029F24Rik,RIKEN cDNA C230029F24 gene,NCBIGene:442837,
ENSMUSG00000099608,4933411E06Rik,RIKEN cDNA 4933411E06 gene,,
ENSMUSG00000100451,Gm29665,predicted gene 29665,,
ENSMUSG00000100816,Gm28321,predicted gene 28321,,
ENSMUSG00000026109,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2,NCBIGene:56363,
ENSMUSG00000100671,Gm28322,predicted gene 28322,,
ENSMUSG00000101242,Gm28319,predicted gene 28319,,
ENSMUSG00000099924,Gm28320,predicted gene 28320,,
ENSMUSG00000099625,Gm29325,predicted gene 29325,,
ENSMUSG00000101799,9330175M20Rik,RIKEN cDNA 9330175M20 gene,NCBIGene:442821,
ENSMUSG00000045954,Cavin2,caveolae associated 2,NCBIGene:20324,
ENSMUSG00000101702,1700072G22Rik,RIKEN cDNA 1700072G22 gene,,
ENSMUSG00000026107,Nabp1,nucleic acid binding protein 1,NCBIGene:109019,
ENSMUSG00000099413,Gm17767,"predicted gene, 17767",NCBIGene:100045066,
ENSMUSG00000101741,Gm28055,predicted gene 28055,,
ENSMUSG00000018417,Myo1b,myosin IB,NCBIGene:17912,
ENSMUSG00000101724,Gm29453,predicted gene 29453,,
ENSMUSG00000100313,Gm28323,predicted gene 28323,,
ENSMUSG00000062939,Stat4,signal transducer and activator of transcription 4,NCBIGene:20849,
ENSMUSG00000109599,Gm31812,"predicted gene, 31812",,
ENSMUSG00000026104,Stat1,signal transducer and activator of transcription 1,NCBIGene:20846,
ENSMUSG00000026103,Gls,glutaminase,NCBIGene:14660,
ENSMUSG00000002881,Nab1,Ngfi-A binding protein 1,NCBIGene:17936,
ENSMUSG00000100120,Gm553,predicted gene 553,NCBIGene:118126071,
ENSMUSG00000099878,Gm28178,predicted gene 28178,NCBIGene:102634661,
ENSMUSG00000043015,Nemp2,nuclear envelope integral membrane protein 2,NCBIGene:227094,
ENSMUSG00000041439,Mfsd6,major facilitator superfamily domain containing 6,NCBIGene:98682,
ENSMUSG00000100302,Gm29670,predicted gene 29670,,
ENSMUSG00000026102,Inpp1,inositol polyphosphate-1-phosphatase,NCBIGene:16329,
ENSMUSG00000041426,Hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase,NCBIGene:227095,
ENSMUSG00000043629,1700019D03Rik,RIKEN cDNA 1700019D03 gene,NCBIGene:67080,
ENSMUSG00000026100,Mstn,myostatin,NCBIGene:17700,
ENSMUSG00000060715,1700019A02Rik,RIKEN cDNA 1700019A02 gene,NCBIGene:69397,
ENSMUSG00000026098,Pms1,"PMS1 homolog 1, mismatch repair system component",NCBIGene:227099,
